codigo,latitude,longitude,updated_at
CA-PDRO-0071-A5,-28.873918,-49.289249,2026-08-29T20:00:00Z
CA-PDRO-0093-A2,-28.829618,-49.236976,2026-08-29T20:00:00Z
CA-PDRO-0093-A4,-28.829748,-49.23894,2026-08-29T20:00:00Z
CA-PDRO-0054-A2,-28.839854,-49.240911,2026-08-29T20:00:00Z
CA-YCA-0153-A1,-28.760739,-49.267044,2026-08-29T20:00:00Z
CA-PDRO-0115-A5,-28.827076,-49.237487,2026-08-29T20:00:00Z
CA-PDRO-0222-A2,-28.810108,-49.233235,2026-08-29T20:00:00Z
CA-PDRO-0213-A6,-28.831598,-49.244311,2026-08-29T20:00:00Z
CA-PDRO-0203-A3,-28.8503,-49.253396,2026-08-29T20:00:00Z
CA-PDRO-0056-B4,-28.837977,-49.245722,2026-08-29T20:00:00Z
CA-PDRO-0069-B6,-28.846454,-49.28558,2026-08-29T20:00:00Z
CA-PDRO-0068-D,-28.834185,-49.274488,2026-08-29T20:00:00Z
CA-YCA-0152-A7,-28.761166,-49.274628,2026-08-29T20:00:00Z
CA-YCA-0152-A3,-28.760492,-49.271519,2026-08-29T20:00:00Z
CA-YCA-0194-A8,-28.76466,-49.276653,2026-08-29T20:00:00Z
CA-YCA-0133-A7,-28.759155,-49.278309,2026-08-29T20:00:00Z
CA-YCA-0133-A7,-28.759155,-49.278309,2026-08-29T20:00:00Z
CA-YCA-0127-A1,-28.760999,-49.29012,2026-08-29T20:00:00Z
CA-SIE-0012-A7,-28.594567,-49.422951,2026-08-29T20:00:00Z
CA-SIE-0012-A2,-28.595803,-49.420244,2026-08-29T20:00:00Z
CA-SIE-0006-A2,-28.600228,-49.425922,2026-08-29T20:00:00Z
CA-SIE-0006-A1,-28.600873,-49.426192,2026-08-29T20:00:00Z
CA-SIE-0006-A3,-28.602856,-49.425929,2026-08-29T20:00:00Z
CA-SIE-0003-A5,-28.598779,-49.42742,2026-08-29T20:00:00Z
CA-SIE-0014-A3,-28.591144,-49.429524,2026-08-29T20:00:00Z
CA-SIE-0017-A6,-28.585775,-49.429633,2026-08-29T20:00:00Z
CA-SIE-0017-A1,-28.589097,-49.429058,2026-08-29T20:00:00Z
CA-SIE-0080,-28.59009,-49.426895,2026-08-29T20:00:00Z
CA-SIE-0110,-28.583008,-49.430768,2026-08-29T20:00:00Z
CA-SIE-0112,-28.580548,-49.430621,2026-08-29T20:00:00Z
CA-SIE-0214,-28.548817,-49.494722,2026-08-29T20:00:00Z
CA-SIE-0129-A6,-28.63075,-49.441324,2026-08-29T20:00:00Z
CA-SIE-0192,-28.624117,-49.435525,2026-08-29T20:00:00Z
CA-SIE-0047-A3,-28.583696,-49.425662,2026-08-29T20:00:00Z
CA-SIE-0176-A1,-28.590509,-49.426878,2026-08-29T20:00:00Z
CA-SIE-0130,-28.590415,-49.462747,2026-08-29T20:00:00Z
CA-SIE-0133,-28.585756,-49.489746,2026-08-29T20:00:00Z
CA-SIE-0128,-28.597425,-49.44743,2026-08-29T20:00:00Z
CA-SIE-0120-A1,-28.586315,-49.488862,2026-08-29T20:00:00Z
CA-SIE-0097-A8,-28.595635,-49.425968,2026-08-29T20:00:00Z
CA-SIE-0063,-28.594305,-49.428867,2026-08-29T20:00:00Z
CA-TREV-0065-A5,-28.522948,-49.521648,2026-08-29T20:00:00Z
CA-TREV-0065-A5,-28.522948,-49.521648,2026-08-29T20:00:00Z
CA-TREV-0136-A7,-28.560764,-49.455469,2026-08-29T20:00:00Z
CA-TREV-0076,-28.561125,-49.4324,2026-08-29T20:00:00Z
CA-TREV-0057-A6,-28.506189,-49.441405,2026-08-29T20:00:00Z
CA-TREV-0126,-28.465575,-49.508065,2026-08-29T20:00:00Z
CA-TREV-0050-A7,-28.504685,-49.456174,2026-08-29T20:00:00Z
CA-TREV-0072-A7,-28.510967,-49.481608,2026-08-29T20:00:00Z
CA-TREV-0004-A3,-28.516086,-49.458914,2026-08-29T20:00:00Z
CA-UUG-0014-B1,-28.523534,-49.318796,2026-08-29T20:00:00Z
CA-UUG-0014-A7,-28.520625,-49.320692,2026-08-29T20:00:00Z
CA-UUG-0038-A8,-28.539606,-49.321229,2026-08-29T20:00:00Z
CA-UUG-0067-A2,-28.519399,-49.318167,2026-08-29T20:00:00Z
CA-UUG-0067-A8,-28.51892,-49.314884,2026-08-29T20:00:00Z
CA-UUG-0042-B2,-28.555756,-49.316711,2026-08-29T20:00:00Z
CA-UUG-0061-A4,-28.514407,-49.313124,2026-08-29T20:00:00Z
CA-UUG-0070-A6,-28.507506,-49.321982,2026-08-29T20:00:00Z
CA-UUG-0044-A5,-28.523956,-49.326864,2026-08-29T20:00:00Z
CA-UUG-0115-A1,-28.541804,-49.290615,2026-08-29T20:00:00Z
CA-UUG-0118-A4,-28.535347,-49.295103,2026-08-29T20:00:00Z
CA-UUG-0118-A3,-28.536369,-49.293916,2026-08-29T20:00:00Z
CA-UUG-0047-A13,-28.535219,-49.341405,2026-08-29T20:00:00Z
CA-UUG-0053-A8,-28.511102,-49.369045,2026-08-29T20:00:00Z
CA-UUG-0120-A8,-28.534059,-49.300353,2026-08-29T20:00:00Z
CA-UUG-0199-A8,-28.496886,-49.414362,2026-08-29T20:00:00Z
CA-UUG-0216-A1,-28.5387792423087,-49.409623230446,2026-08-29T20:00:00Z
CA-UUG-0080-A4,-28.466341,-49.356223,2026-08-29T20:00:00Z
CA-YCA-0081-A5,-28.695643,-49.306824,2026-08-29T20:00:00Z
CA-YCA-0184-A1,-28.683688,-49.307274,2026-08-29T20:00:00Z
CA-YCA-0011-A4,-28.719954,-49.31515,2026-08-29T20:00:00Z
CA-CUA-0133-B5,-28.680898,-49.34645,2026-08-29T20:00:00Z
CA-CUA-1548-A7,-28.686094,-49.333511,2026-08-29T20:00:00Z
CA-CUA-0111-B3,-28.675846,-49.338683,2026-08-29T20:00:00Z
